ID	Speaker	CB	Text
1216	TRUMP	0.45	They'll be able to compete.
1217	TRUMP	0.27	They'll make money.
1218	TRUMP	0.23	They'll pay off our national debt.
1219	TRUMP	0.3	They'll pay off our tremendous budget deficits, which are tremendous.
1220	TRUMP	0.29	But we are putting our energy companies out of business.
1221	TRUMP	0.16	We have to bring back our workers.
1222	TRUMP	0.35	You take a look at what's happening to steel and the cost of steel and China dumping vast amounts of steel all over the United States, which essentially is killing our steelworkers and our steel companies.
1223	TRUMP	0.22	We have to guard our energy companies.
1224	TRUMP	0.2	We have to make it possible.
1225	TRUMP	0.28	The EPA is so restrictive that they are putting our energy companies out of business.
1226	TRUMP	0.13	And all you have to do is go to a great place like West Virginia or places like Ohio, which is phenomenal, or places like Pennsylvania and you see what they're doing to the people, miners and others in the energy business.
1227	TRUMP	0.23	It's a disgrace.
1228	COOPER	0.25	Your time is up.
1229	COOPER	0.14	Thank you.
1230	TRUMP	0.23	It's an absolute disgrace.
1231	COOPER	0.35	Secretary Clinton, two minutes.
1232	CLINTON	0.2	And actually -- well, that was very interesting.
1233	CLINTON	0.44	First of all, China is illegally dumping steel in the United States and Donald Trump is buying it to build his buildings, putting steelworkers and American steel plants out of business.
1234	CLINTON	0.23	That's something that I fought against as a senator and that I would have a trade prosecutor to make sure that we don't get taken advantage of by China on steel or anything else.
1235	CLINTON	0.19	You know, because it sounds like you're in the business or you're aware of people in the business -- you know that we are now for the first time ever energy-independent.
1236	CLINTON	0.26	We are not dependent upon the Middle East.
1237	CLINTON	0.25	But the Middle East still controls a lot of the prices.
1238	CLINTON	0.27	So the price of oil has been way down.
1239	CLINTON	0.42	And that has had a damaging effect on a lot of the oil companies, right?
1240	CLINTON	0.33	We are, however, producing a lot of natural gas, which serves as a bridge to more renewable fuels.
1241	CLINTON	0.16	And I think that's an important transition.
1242	CLINTON	0.19	We've got to remain energy-independent.
1243	CLINTON	0.25	It gives us much more power and freedom than to be worried about what goes on in the Middle East.
1244	CLINTON	0.24	We have enough worries over there without having to worry about that.
1245	CLINTON	0.17	So I have a comprehensive energy policy, but it really does include fighting climate change, because I think that is a serious problem.
1246	CLINTON	0.2	And I support moving toward more clean, renewable energy as quickly as we can, because I think we can be the 21st century clean energy superpower and create millions of new jobs and businesses.
1247	CLINTON	0.14	But I also want to be sure that we don't leave people behind.
1248	CLINTON	0.25	That's why I'm the only candidate from the very beginning of this campaign who had a plan to help us revitalize coal country, because those coal miners and their fathers and their grandfathers, they dug that coal out.
1249	CLINTON	0.3	A lot of them lost their lives.
1250	CLINTON	0.35	They were injured, but they turned the lights on and they powered their factories.
1251	CLINTON	0.15	I don't want to walk away from them.
1252	CLINTON	0.11	So we've got to do something for them.
1253	COOPER	0.22	Secretary Clinton...
1254	CLINTON	0.34	But the price of coal is down worldwide.
1255	CLINTON	0.11	So we have to look at this comprehensively.
1256	COOPER	0.25	Your time is up.
1257	CLINTON	0.34	And that's exactly what I have proposed.
1258	CLINTON	0.12	I hope you will go to HillaryClinton.com and look at my entire policy.
1259	COOPER	0.25	Time is up.
1260	COOPER	0.28	We have time for one more...
1261	RADDATZ	0.31	We have...
1262	COOPER	0.21	One more audience question.
1263	RADDATZ	0.32	We've sneaked in one more question, and it comes from Karl Becker.
1264	QUESTION	0.18	Good evening.
1265	QUESTION	0.43	My question to both of you is, regardless of the current rhetoric, would either of you name one positive thing that you respect in one another?
1266	SYSTEM	0.42	(APPLAUSE)
1267	RADDATZ	0.17	Mr. Trump, would you like to go first?
1268	CLINTON	0.05	Well, I certainly will, because I think that's a very fair and important question.
1269	CLINTON	0.2	Look, I respect his children.
1270	CLINTON	0.31	His children are incredibly able and devoted, and I think that says a lot about Donald.
1271	CLINTON	0.24	I don't agree with nearly anything else he says or does, but I do respect that.
1272	CLINTON	0.06	And I think that is something that as a mother and a grandmother is very important to me.
1273	CLINTON	0.14	So I believe that this election has become in part so -- so conflict-oriented, so intense because there's a lot at stake.
1274	CLINTON	0.18	This is not an ordinary time, and this is not an ordinary election.
1275	CLINTON	0.18	We are going to be choosing a president who will set policy for not just four or eight years, but because of some of the important decisions we have to make here at home and around the world, from the Supreme Court to energy and so much else, and so there is a lot at stake.
1276	CLINTON	0.29	It's one of the most consequential elections that we've had.
1277	CLINTON	0.19	And that's why I've tried to put forth specific policies and plans, trying to get it off of the personal and put it on to what it is I want to do as president.
1278	CLINTON	0.23	And that's why I hope people will check on that for themselves so that they can see that, yes, I've spent 30 years, actually maybe a little more, working to help kids and families.
1279	CLINTON	0.14	And I want to take all that experience to the White House and do that every single day.
1280	RADDATZ	0.2	Mr. Trump?
1281	TRUMP	0.11	Well, I consider her statement about my children to be a very nice compliment.
1282	TRUMP	0.11	I don't know if it was meant to be a compliment, but it is a great -- I'm very proud of my children.
1283	TRUMP	0.25	And they've done a wonderful job, and they've been wonderful, wonderful kids.
1284	TRUMP	0.15	So I consider that a compliment.
1285	TRUMP	0.12	I will say this about Hillary.
1286	TRUMP	0.15	She doesn't quit.
1287	TRUMP	0.16	She doesn't give up.
1288	TRUMP	0.31	I respect that.
1289	TRUMP	0.16	I tell it like it is.
1290	TRUMP	0.18	She's a fighter.
1291	TRUMP	0.13	I disagree with much of what she's fighting for.
1292	TRUMP	0.12	I do disagree with her judgment in many cases.
1293	TRUMP	0.11	But she does fight hard, and she doesn't quit, and she doesn't give up.
1294	TRUMP	0.12	And I consider that to be a very good trait.
1295	RADDATZ	0.22	Thanks to both of you.
1296	COOPER	0.19	We want to thank both the candidates.
1297	COOPER	0.1	We want to thank the university here.
1298	COOPER	0.2	This concludes the town hall meeting.
1299	COOPER	0.11	Our thanks to the candidates, the commission, Washington University, and to everybody who watched.
1300	RADDATZ	0.42	Please tune in on October 19th for the final presidential debate that will take place at the University of Nevada, Las Vegas.
1301	RADDATZ	0.14	Good night, everyone.
